service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,1,1,20171212,20181208
2,1,1,1,1,1,1,1,20171212,20181208
3,1,1,1,1,1,1,1,20171212,20181208
4,1,1,1,1,1,1,1,20171212,20181208
5,1,1,1,1,1,1,1,20171212,20181208
6,1,1,1,1,1,1,1,20171212,20181208
7,1,1,1,1,1,1,1,20171212,20181208
8,1,1,1,1,1,1,1,20171212,20181208
9,1,1,1,1,1,1,1,20171212,20181208
10,1,0,0,0,0,1,1,20171212,20181208
11,1,1,1,1,1,0,0,20171212,20181208
12,1,1,1,1,1,0,0,20171212,20181208
13,1,1,1,1,1,0,0,20171212,20181208
14,1,1,1,1,1,0,0,20171212,20181208
15,1,1,1,1,1,0,0,20171212,20181208
16,1,1,1,1,1,0,0,20171212,20181208
17,1,1,1,1,1,1,1,20171212,20181208
18,1,1,1,1,1,0,0,20171212,20181208
19,1,1,1,1,1,0,0,20171212,20181208
20,0,0,0,0,1,1,1,20171212,20181208
21,1,1,1,1,1,0,0,20171212,20181208
22,1,1,1,1,1,1,1,20171212,20181208
23,1,1,1,1,1,1,1,20171212,20181208
24,1,1,1,1,1,1,1,20171212,20181208
25,1,1,1,1,1,1,1,20171212,20181208
26,1,1,1,1,1,0,1,20171212,20181208
27,1,1,1,1,1,0,0,20171212,20181208
28,1,1,1,1,1,0,0,20171212,20181208
29,1,1,1,1,1,1,0,20171212,20181208
30,1,1,1,1,1,0,0,20171212,20181208
31,1,1,1,1,1,0,0,20171212,20181208
32,1,1,1,1,1,0,0,20171212,20181208
33,1,1,1,1,1,1,1,20171212,20181208
34,1,1,1,1,1,1,0,20171212,20181208
35,1,1,1,1,1,0,0,20171212,20181208
36,1,1,1,1,1,0,0,20171212,20181208
37,1,1,1,1,1,0,0,20171212,20181208
38,1,1,1,1,1,1,1,20171212,20181208
39,1,1,1,1,1,1,1,20171212,20181208
40,1,1,1,1,1,1,1,20171212,20181208
41,1,1,1,1,1,1,1,20171212,20181208
42,1,1,1,1,1,1,1,20171212,20181208
43,1,1,1,1,1,1,1,20171212,20181208
44,1,1,1,1,1,1,1,20171212,20181208
45,1,1,1,1,1,0,0,20171212,20181208
46,1,0,1,1,1,1,1,20171212,20181208
47,1,1,1,1,0,1,1,20171212,20181208
48,1,1,1,1,1,1,1,20171212,20181208
49,1,1,1,1,1,1,0,20171212,20181208
50,1,1,1,1,1,0,0,20171212,20181208
51,1,1,1,1,1,1,1,20171212,20181208
52,1,1,1,1,1,1,1,20171212,20181208
