route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,228389,R: Bârlad - Galaţi,R: Bârlad - Griviţa h. - Bălăbăneşti h. - Lungeşti h. - Docăneasa hc. - Tălăşmani h. - Bereşti Tunel h. - Bereşti Hm. - Balinteşti h. - Roşcani h. - Moscu hc. - Târgu Bujor - Umbrăreşti Sat h. - Băleni h. - Fârţăneşti h. - Chiraftei h. - Folteşti Hm. - Stoicani h. - Frumuşiţa h. - Şiviţa h. - Tuluceşti Hm. - Galaţi,,2,,ffffff,000000
2,228389,R: Ploieşti Sud - Slănic,R: Ploieşti Sud - Ploieşti Vest - Buda - Găgeni hc. - Plopeni - Plopeni Sat Hm. - Găvănel hc. - Mălăeşti h. - Coţofeneşti h. - Poiana Slănic h. - Vlădeşti h. - Vărbilău hc. - Prăjani h. - Slănic,,2,,ffffff,000000
3,228389,R: Nehoiaşu - Buzău,R: Nehoiaşu - Nehoiu h. - Păltineni h. - Şeţu h. - Valea Sibiciului h. - Pătârlagele Hm. - Mărunţişu hcv. - Valea Seacă h. - Gura Bascii h. - Cislău hcv. - Vipereşti hc. - Ruşavăţu hc. - Bădila h. - Pârscov - Măgura hcv. - Unguriu hc. - Ojasca h. - Berca Hm. - Cândeşti hc. - Verneşti h. - Buzău Nord Hm. - Buzău,,2,,ffffff,000000
4,228389,R: Titan Sud Hm. - Olteniţa,R: Titan Sud Hm. - Buc. Sud Gr. Călători - Căldăraru h. - Tânganu h. - Frunzăneşti h. - Plătăreşti hc. - PO Podu Pitarului h. - Cucuieţi Sudiţi h. - Gălbinaşi hc. - Vasilaţi hc. - Budeşti Hm. - Negoieşti h. - Şoldanu h. - Luica h. - Curcani h. - Valea Roşie hc. - Olteniţa,,2,,ffffff,000000
5,228389,R: Galaţi - Bârlad,R: Galaţi - Tuluceşti Hm. - Şiviţa h. - Frumuşiţa h. - Stoicani h. - Folteşti Hm. - Chiraftei h. - Fârţăneşti h. - Băleni h. - Umbrăreşti Sat h. - Târgu Bujor - Moscu hc. - Roşcani h. - Balinteşti h. - Bereşti Hm. - Bereşti Tunel h. - Tălăşmani h. - Docăneasa hc. - Lungeşti h. - Bălăbăneşti h. - Griviţa h. - Bârlad,,2,,ffffff,000000
6,228389,IR: Oradea - Cluj Napoca,IR: Oradea - Oşorhei Hm. - Aleşd - Vadu Crişului Hm. - Şuncuiuş Hm. - Bratca - Stâna de Vale h. - Bulz Hm. - Piatra Craiului Hm. - Lacu Crişului h. - Negreni h. - Ciucea Hm. - Poieni - Huedin - Aghireş h. - Aghireş - Gârbău h. - Cluj Napoca,,2,,ffffff,000000
7,228389,R: Târgovişte - Bucureşti Nord Gr.A,R: Târgovişte - Văcăreşti h. - Cazaci h. - Nucet - Movila Dâmboviţa h. - Băneşti h. - Dâmbovicioara h. - Titu - Boteni h. - Conţeşti h. - Ghergani Hm. - Chitila - Bucureşti Nord Gr.A,,2,,ffffff,000000
8,228389,R: Olteniţa - Titan Sud Hm.,R: Olteniţa - Valea Roşie hc. - Curcani h. - Luica h. - Şoldanu h. - Negoieşti h. - Budeşti Hm. - Vasilaţi hc. - Gălbinaşi hc. - Cucuieţi Sudiţi h. - PO Podu Pitarului h. - Plătăreşti hc. - Frunzăneşti h. - Tânganu h. - Căldăraru h. - Buc. Sud Gr. Călători - Titan Sud Hm.,,2,,ffffff,000000
9,228389,R: Slănic - Ploieşti Sud,R: Slănic - Prăjani h. - Vărbilău hc. - Vlădeşti h. - Poiana Slănic h. - Coţofeneşti h. - Mălăeşti h. - Găvănel hc. - Plopeni Sat Hm. - Plopeni - Găgeni hc. - Buda - Ploieşti Vest - Ploieşti Sud,,2,,ffffff,000000
10,228389,R: Fieni - Târgovişte,R: Fieni - Moţăieni h. - Pucioasa Hm. - Trainica h. - Scârlenţa h. - Vulcana Pandele P.M.Aj. - Doiceşti h. - Doiceşti - Aninoasa Hm. - TEIŞ Hm. - Romlux h. - Târgovişte,,2,,ffffff,000000
