route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
161,1,1051,,IR,,,shp_2_576,0,0
160,1,1052,,IR,,,shp_2_829,0,0
475,1,1061,,R,,,shp_2_63,0,0
545,1,1062,,R,,,shp_2_222,0,0
475,1,1063,,R,,,shp_2_63,0,0
545,1,1064,,R,,,shp_2_222,0,0
929,1,1090,,R,,,shp_2_639,0,0
1013,1,1091,,R,,,shp_2_870,0,0
845,73,1094,,IR,,,shp_2_1044,0,0
319,73,1095,,IR,,,shp_2_1012,0,0
420,1,1384-1,,R,,,shp_2_926,0,0
719,1,1385,,R,,,shp_2_905,0,0
686,1,143-2,,IR,,,shp_2_876,0,0
606,1,144-1,,IR,,,shp_2_573,0,0
27,1,15002,,R,,,shp_2_143,0,0
36,1,15003,,R,,,shp_2_780,0,0
27,8,15004,,R,,,shp_2_143,0,0
364,1,1501,,IR,,,shp_2_117,0,0
378,1,1502,,IR,,,shp_2_598,0,0
364,1,1503,,IR,,,shp_2_117,0,0
41,1,15031,,IR,,,shp_2_164,0,0
42,2,15032,,IR,,,shp_2_507,0,0
39,2,15033,,IR,,,shp_2_886,0,0
6,1,15034,,IR,,,shp_2_491,0,0
12,4,15035,,IR,,,shp_2_735,0,0
32,1,15036,,IR,,,shp_2_750,0,0
28,11,15037,,IR,,,shp_2_922,0,0
35,12,15038,,IR,,,shp_2_477,0,0
378,1,1504,,IR,,,shp_2_598,0,0
364,1,1505,,IR,,,shp_2_117,0,0
17,1,15051,,IR,,,shp_2_745,0,0
33,1,15053,,IR,,,shp_2_178,0,0
30,1,15054,,IR,,,shp_2_838,0,0
44,1,15056,,IR,,,shp_2_312,0,0
25,8,15057,,IR,,,shp_2_632,0,0
378,1,1506,,IR,,,shp_2_598,0,0
16,5,15061,,IR,,,shp_2_993,0,0
364,1,1507,,IR,,,shp_2_117,0,0
40,1,15071,,IR,,,shp_2_415,0,0
49,1,15072,,IR,,,shp_2_361,0,0
378,1,1508,,IR,,,shp_2_598,0,0
364,1,1509,,IR,,,shp_2_117,0,0
378,1,1510,,IR,,,shp_2_598,0,0
364,1,1511,,IR,,,shp_2_117,0,0
37,1,15110,,R,,,shp_2_810,0,0
45,1,15111,,R,,,shp_2_442,0,0
20,15,15112,,R,,,shp_2_253,0,0
13,15,15113,,R,,,shp_2_852,0,0
378,1,1512,,IR,,,shp_2_598,0,0
9,1,15120,,R,,,shp_2_315,0,0
2,1,15121,,R,,,shp_2_1027,0,0
9,1,15122,,R,,,shp_2_315,0,0
2,1,15123,,R,,,shp_2_1027,0,0
9,1,15124,,R,,,shp_2_315,0,0
21,13,15125,,R,,,shp_2_15,0,0
9,1,15126,,R,,,shp_2_315,0,0
2,6,15127,,R,,,shp_2_1027,0,0
9,13,15128,,R,,,shp_2_315,0,0
2,1,15129,,R,,,shp_2_1027,0,0
9,6,15130,,R,,,shp_2_315,0,0
2,1,15131,,R,,,shp_2_1027,0,0
